3.15,5.643,2.2057,0.82172
3.2,5.7035,2.2729,0.83729
3.25,5.765,2.3433,0.85319
3.3,5.816,2.4034,0.86797
3.35,5.8773,2.4781,0.8832
3.4,5.9216,2.5338,0.89878
3.45,5.9779,2.607,0.91509
3.5,6.0215,2.6655,0.93018
3.55,6.0726,2.7364,0.94667
3.6,6.119,2.803,0.9621
3.65,6.1665,2.8735,0.97785
3.7,6.214,2.9466,0.99427
3.75,6.2517,3.0068,1.0108
3.8,6.2869,3.0648,1.0265
3.85,6.3256,3.1313,1.0429
3.9,6.3589,3.1904,1.0587
3.95,6.3931,3.2537,1.0755
4,6.4238,3.313,1.0922
4.05,6.4581,3.3819,1.1091
4.1,6.4934,3.4557,1.1254
4.15,6.5317,3.5397,1.142
4.2,6.5571,3.5977,1.1591
4.25,6.5863,3.6677,1.1752
4.3,6.6139,3.7369,1.192
4.35,6.645,3.8194,1.2094
4.4,6.6698,3.8882,1.2257
4.45,6.6934,3.9576,1.2423
4.5,6.717,4.0309,1.2599
4.55,6.7357,4.0929,1.2775
4.6,6.7577,4.1707,1.295
4.65,6.7795,4.2533,1.3127
4.7,6.7951,4.3168,1.3309
4.75,6.8143,4.4017,1.3481
4.8,6.8308,4.481,1.3656
4.85,6.8453,4.557,1.3828
4.9,6.8595,4.6402,1.4007
4.95,6.8712,4.7162,1.4188
5,6.8823,4.7984,1.4359
5.05,6.8917,4.8783,1.4545
5.1,6.8986,4.9482,1.4721
5.15,6.9043,5.0191,1.4907
5.2,6.9094,5.1,1.5078
5.25,6.913,5.1792,1.5257
5.3,6.9145,5.2325,1.543
5.35,6.9153,5.3183,1.5612
5.4,6.9145,5.3966,1.5802
5.45,6.9122,5.481,1.5988
5.5,6.9088,5.554,1.6171
5.55,6.9051,5.6109,1.6362
5.6,6.8994,5.6787,1.6544
5.65,6.8917,5.7542,1.6721
5.7,6.8848,5.8113,1.6905
5.75,6.8738,5.8909,1.7088
5.8,6.8639,5.9536,1.7272
5.85,6.8556,6.0009,1.7452
5.9,6.8427,6.0662,1.7646
5.95,6.8324,6.114,1.7832
6,6.8171,6.1795,1.8015
6.05,6.7969,6.2584,1.8212
6.1,6.7834,6.3072,1.8407
6.15,6.7637,6.3734,1.8597
6.2,6.7395,6.4495,1.8783
6.25,6.72,6.507,1.8975
6.3,6.7043,6.5507,1.9169
6.35,6.6757,6.6255,1.9359
6.4,6.6491,6.6911,1.9562
6.45,6.6238,6.75,1.9763
6.5,6.5943,6.8152,1.9956
6.55,6.5721,6.8619,2.0147
6.6,6.5456,6.9151,2.0338
6.65,6.5123,6.9783,2.0544
6.7,6.48,7.0371,2.0737
6.75,6.448,7.0927,2.0932
6.8,6.4114,7.1535,2.1123
6.85,6.3766,7.2088,2.1321
6.9,6.3425,7.2607,2.1525
6.95,6.3021,7.3196,2.1724
7,6.2605,7.3777,2.1925
7.05,6.2236,7.4269,2.2135
7.1,6.191,7.4687,2.2328
7.15,6.1468,7.5232,2.2526
7.2,6.1031,7.5747,2.2735
7.25,6.0643,7.6188,2.2937
7.3,6.024,7.6626,2.3142
7.35,5.9841,7.7043,2.3345
7.4,5.9359,7.7526,2.355
7.45,5.9093,7.7783,2.3749
7.5,5.8679,7.8165,2.396
7.55,5.8399,7.8413,2.4161
7.6,5.797,7.8778,2.437
7.65,5.7415,7.9229,2.4584
7.7,5.6977,7.9571,2.4791
7.75,5.6656,7.981,2.5007
7.8,5.624,8.0108,2.5207
7.85,5.5943,8.0311,2.5417
7.9,5.5369,8.0686,2.5625
7.95,5.4788,8.105,2.5832
8,5.429,8.1346,2.6042
8.05,5.384,8.1602,2.6247
8.1,5.3244,8.1924,2.6463
8.15,5.2645,8.2232,2.6666
8.2,5.2167,8.2465,2.6876
8.25,5.1686,8.2687,2.709
8.3,5.1364,8.2828,2.7301
8.35,5.0993,8.2981,2.7504
8.4,5.0349,8.3231,2.7718
8.45,4.9963,8.337,2.7937
8.5,4.9535,8.3515,2.8152
8.55,4.9233,8.361,2.8369
8.6,4.8581,8.38,2.8578
8.65,4.8056,8.3941,2.8801
8.7,4.7744,8.4018,2.9006
8.75,4.7201,8.4139,2.9212
8.8,4.6712,8.4238,2.9423
8.85,4.6301,8.4312,2.9642
8.9,4.5924,8.4371,2.9862
8.95,4.5593,8.4415,3.0083
9,4.5265,8.4452,3.0311
9.05,4.4702,8.4501,3.0537
9.1,4.4032,8.4546,3.0747
9.15,4.3372,8.4576,3.096
9.2,4.2735,8.4591,3.1188
9.25,4.2177,8.4591,3.1404
9.3,4.1571,8.4579,3.1626
9.35,4.0913,8.455,3.1855
9.4,4.0461,8.452,3.2073
9.45,3.9884,8.447,3.2284
9.5,3.9387,8.4416,3.2501
9.55,3.8746,8.4332,3.2717
9.6,3.8268,8.4258,3.2947
9.65,3.7948,8.4201,3.3172
9.7,3.7541,8.4119,3.34
9.75,3.7172,8.4036,3.3633
9.8,3.6604,8.3895,3.386
